Wall time,Step,Value
1474274097.495562,100,0.41971927881240845
1474274459.160622,200,0.1612813025712967
1474274814.823228,300,0.1425071358680725
1474274986.741447,400,0.13028797507286072
1474275157.103121,500,0.1209837794303894
1474275511.431588,600,0.11359293013811111
1474275683.85684,700,0.1096620261669159
1474276039.111205,800,0.10527358949184418
1474276209.425619,900,0.10451682657003403
1474276380.724119,1000,0.10128612071275711
1474276753.334915,1100,0.09949460625648499
1474276923.684465,1200,0.09801609069108963
1474277094.194064,1300,0.09615988284349442
1474277266.607333,1400,0.09407538175582886
1474277437.489984,1500,0.09366333484649658
1474277607.930304,1600,0.0926143005490303
1474277778.429289,1700,0.09094221889972687
1474277948.806143,1800,0.08862009644508362
1474278119.205224,1900,0.08826049417257309
1474278289.39504,2000,0.08864779770374298
1474278658.502178,2100,0.08665187656879425
1474278828.894,2200,0.0838320255279541
1474278999.201996,2300,0.08435944467782974
1474279169.515226,2400,0.08296211808919907
1474279339.829298,2500,0.08294858783483505
1474279510.12148,2600,0.08379440009593964
1474279681.696853,2700,0.08126072585582733
1474279853.40838,2800,0.08182590454816818
1474280023.767553,2900,0.08096388727426529
1474280194.248676,3000,0.08221971988677979
1474280564.823148,3100,0.07828871160745621
1474280735.165086,3200,0.08005058765411377
1474280905.431331,3300,0.0766967311501503
1474281075.814457,3400,0.07727126032114029
1474281246.004007,3500,0.07765305042266846
1474281416.240029,3600,0.07531885802745819
1474281586.610683,3700,0.07653164118528366
1474281756.948951,3800,0.07542574405670166
1474281927.16338,3900,0.07689360529184341
1474282097.743218,4000,0.07405731827020645
1474282470.349633,4100,0.07505320012569427
1474282640.453793,4200,0.07339458912611008
1474282810.539807,4300,0.07412989437580109
1474282980.716128,4400,0.07264841347932816
1474283150.904676,4500,0.07354817539453506
1474283320.961868,4600,0.07295411825180054
1474283491.277416,4700,0.07259094715118408
1474283661.449456,4800,0.07181556522846222
1474283831.79385,4900,0.07293510437011719
1474284001.996114,5000,0.0715542659163475
1474284371.766453,5100,0.0700850784778595
1474284542.082651,5200,0.0705546960234642
1474284714.255449,5300,0.06903437525033951
1474284885.024928,5400,0.06919902563095093
1474285055.285443,5500,0.0709497258067131
1474285225.46314,5600,0.07037331908941269
1474285395.663665,5700,0.06996027380228043
1474285565.842545,5800,0.069517582654953
1474285736.229763,5900,0.06772034615278244
1474285906.411456,6000,0.06924287974834442
1474286276.790425,6100,0.06773561984300613
1474286446.926297,6200,0.0690167024731636
1474286617.076326,6300,0.06833814829587936
1474286787.265066,6400,0.068211629986763
1474286957.467483,6500,0.06808112561702728
1474287128.790225,6600,0.0676121935248375
1474287300.315743,6700,0.06717357039451599
1474287470.436258,6800,0.06772859394550323
1474287640.497845,6900,0.06798149645328522
1474287810.723216,7000,0.06527553498744965
1474288180.441798,7100,0.0663917139172554
1474288350.569806,7200,0.0660150796175003
1474288520.779355,7300,0.06544340401887894
1474288690.987255,7400,0.06539744883775711
1474288861.006154,7500,0.06590455025434494
1474289031.158096,7600,0.0656181275844574
1474289201.221171,7700,0.06459173560142517
1474289371.32431,7800,0.06515393406152725
1474289541.988831,7900,0.06655807793140411
1474289714.308445,8000,0.06555496901273727
1474290085.094349,8100,0.06452539563179016
1474290255.250015,8200,0.06446395069360733
1474290425.579482,8300,0.0655752420425415
1474290595.710941,8400,0.06417547166347504
1474290765.964503,8500,0.06322319060564041
1474290936.196601,8600,0.06464419513940811
1474291106.400574,8700,0.06299272924661636
1474291276.641791,8800,0.06280481070280075
1474291446.727625,8900,0.06339115649461746
1474291616.806425,9000,0.06247429922223091
1474291985.741071,9100,0.06279328465461731
1474292157.802527,9200,0.06333686411380768
1474292328.479015,9300,0.06421991437673569
1474292498.58954,9400,0.06241198256611824
1474292668.616746,9500,0.06347144395112991
1474292838.701994,9600,0.06274191290140152
1474293008.745883,9700,0.0624077208340168
1474293178.811306,9800,0.06227966770529747
1474293348.784515,9900,0.062286972999572754
1474293518.922511,10000,0.061766404658555984
1474293888.787884,10100,0.06280934065580368
1474294058.745163,10200,0.062364064157009125
1474294228.73127,10300,0.06103266403079033
1474294398.714275,10400,0.06148051470518112
1474294570.070835,10500,0.061515212059020996
1474294741.601641,10600,0.06095988675951958
1474294911.496596,10700,0.061499327421188354
1474295081.371926,10800,0.0612814798951149
1474295251.242744,10900,0.060753967612981796
1474295421.358291,11000,0.06080745533108711
1474295791.144414,11100,0.060338933020830154
1474295960.968959,11200,0.059836700558662415
1474296130.827333,11300,0.06207343935966492
1474296300.848737,11400,0.061682578176259995
1474296470.768448,11500,0.06075655668973923
1474296640.776184,11600,0.06080982834100723
1474296810.781053,11700,0.060133859515190125
1474296981.250764,11800,0.06037336587905884
1474297153.271517,11900,0.06039285659790039
1474297323.469516,12000,0.06020902469754219
1474297694.231075,12100,0.061437517404556274
1474297864.008942,12200,0.05959488824009895
1474298034.096595,12300,0.05995119735598564
1474298203.99415,12400,0.06089005991816521
1474298373.921462,12500,0.05954594537615776
1474298543.902244,12600,0.05856793001294136
1474298713.855106,12700,0.05837428942322731
1474298883.954831,12800,0.061130084097385406
1474299053.840013,12900,0.0599077083170414
1474299223.689345,13000,0.05896719545125961
1474299595.298789,13100,0.059043627232313156
1474299765.875893,13200,0.05892546847462654
1474299935.794629,13300,0.05754948407411575
1474300105.786577,13400,0.0591273233294487
1474300275.634069,13500,0.05723002552986145
1474300445.435618,13600,0.059364788234233856
1474300615.498482,13700,0.056441452354192734
1474300785.458856,13800,0.05822969600558281
1474300955.40662,13900,0.05845366418361664
1474301125.399563,14000,0.05847811698913574
1474301494.351558,14100,0.05827881768345833
1474301664.311676,14200,0.05898115038871765
1474301834.183191,14300,0.05718102306127548
1474302005.570291,14400,0.057644110172986984
1474302176.895886,14500,0.05888763815164566
1474302346.939645,14600,0.058280933648347855
1474302516.77555,14700,0.05730357766151428
1474302686.611298,14800,0.05761729180812836
1474302856.546479,14900,0.06011703982949257
1474303026.467835,15000,0.059166885912418365
1474303396.759545,15100,0.0569564551115036
1474303566.770222,15200,0.05637064203619957
1474303736.82176,15300,0.05663670226931572
1474303906.93923,15400,0.057294558733701706
1474304077.024029,15500,0.05815691500902176
1474304246.972431,15600,0.05676669254899025
1474304417.667944,15700,0.05680137127637863
1474304589.348612,15800,0.05719532445073128
1474304759.714832,15900,0.056023165583610535
1474304929.574203,16000,0.05647668614983559
1474305299.921744,16100,0.05653970688581467
1474305469.79144,16200,0.056983016431331635
1474305639.765298,16300,0.056274764239788055
1474305809.751784,16400,0.057418111711740494
1474305979.725248,16500,0.05517362058162689
1474306149.576255,16600,0.056926749646663666
1474306319.588841,16700,0.056412700563669205
1474306489.527674,16800,0.05751796439290047
1474306659.315011,16900,0.054987166076898575
1474306829.503981,17000,0.05682551488280296
1474307201.511964,17100,0.05475272610783577
1474307371.591595,17200,0.05572186037898064
1474307541.5598,17300,0.05569300055503845
1474307711.490294,17400,0.05482259392738342
1474307881.455337,17500,0.05662549287080765
1474308051.384599,17600,0.05650019645690918
1474308221.402242,17700,0.05586244538426399
1474308391.307859,17800,0.05665694922208786
1474308561.295524,17900,0.054908350110054016
1474308731.217592,18000,0.056907013058662415
1474309099.231778,18100,0.054697275161743164
1474309269.179332,18200,0.05615800991654396
1474309440.552009,18300,0.055359337478876114
1474309611.650885,18400,0.05579119175672531
1474309781.732124,18500,0.05536728352308273
